URL,Status,Local File
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/,Success,recovered_pages\index.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/appointment-booking/,Success,recovered_pages\appointment-booking.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com,Success,recovered_pages\index.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/our-team/,Success,recovered_pages\our-team.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/anxiety-treatment-in-hyderabad/,Success,recovered_pages\anxiety-treatment-in-hyderabad.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/bipolar-disorder-treatment-in-hyderabad/,Success,recovered_pages\bipolar-disorder-treatment-in-hyderabad.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/depression-treatment-in-hyderabad/,Success,recovered_pages\depression-treatment-in-hyderabad.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/deaddiction-center-in-hyderabad/,Success,recovered_pages\deaddiction-center-in-hyderabad.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/eating-disorders-treatment-in-hyderabad/,Success,recovered_pages\eating-disorders-treatment-in-hyderabad.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/panic-attack-treatment-in-hyderabad/,Success,recovered_pages\panic-attack-treatment-in-hyderabad.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/personality-disorders-treatment-in-hyderabad/,Success,recovered_pages\personality-disorders-treatment-in-hyderabad.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/phobia-treatment-in-hyderabad/,Success,recovered_pages\phobia-treatment-in-hyderabad.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/sexual-disorder-treatment-in-hyderabad/,Success,recovered_pages\sexual-disorder-treatment-in-hyderabad.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/sleeping-disorder-treatment-in-hyderabad/,Success,recovered_pages\sleeping-disorder-treatment-in-hyderabad.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/stress-management-counselling-in-hyderabad/,Success,recovered_pages\stress-management-counselling-in-hyderabad.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/autism-center-in-hyderabad/,Success,recovered_pages\autism-center-in-hyderabad.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/adhd-center-in-hyderabad/,Success,recovered_pages\adhd-center-in-hyderabad.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/bed-wetting-treatment-in-hyderabad/,Success,recovered_pages\bed-wetting-treatment-in-hyderabad.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/conduct-disorders-in-children/,Success,recovered_pages\conduct-disorders-in-children.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/learning-disability-treatment-in-hyderabad/,Success,recovered_pages\learning-disability-treatment-in-hyderabad.html
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/mobile-addiction-treatment-in-hyderabad/,"Error: HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20250304041408id_/https://serenemindclinics.com/mobile-addiction-treatment-in-hyderabad/ (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",N/A
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/school-refusal-disorder-treatment/,"Error: HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20250304041408id_/https://serenemindclinics.com/school-refusal-disorder-treatment/ (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",N/A
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/blog/,"Error: HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20250304041408id_/https://serenemindclinics.com/blog/ (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",N/A
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/contact/,"Error: HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20250304041408id_/https://serenemindclinics.com/contact/ (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",N/A
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/profile/best-psychiatrist-in-hyderabad/,"Error: HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20250304041408id_/https://serenemindclinics.com/profile/best-psychiatrist-in-hyderabad/ (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",N/A
https://web.archive.org/web/20250304041408/https://serenemindclinics.com/profile/ema-blumingdale/,"Error: HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20250304041408id_/https://serenemindclinics.com/profile/ema-blumingdale/ (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",N/A
